"Dam_Name","Longitude","Latitude","River","Dam_Height_ft","Year_Built","Removed","Unique_ID","Geoid"
"Newell",-122.0742,37.1035,"Newell Creek",182,1960,0,298,"06087120301"
"San Lorenzo Creek",-122.0553,37.691,"San Lorenzo Creek",65,1964,0,299,"06001435200"
"Rubicon Main",-120.2232,38.9886,"Feather River                 ",35,1963,0,300,"06017030603"
"Veeder Hills Dam",-122.3814,38.3413,"Pickle Canyon Creek",54,NA,0,301,"06055201102"
"Kimball Creek",-122.6133,38.6202,"Kimball Creek",80,1939,0,302,"06055201900"
"Tinemaha",-118.2281,37.0558,"Owens River",32,1928,0,303,"06027000500"
"Leland Meadows",-119.9808,38.2335,"Leland Creek",17,1978,0,304,"06109003103"
"Foothill Park",-122.1777,37.3633,"Tr Los Trancos Cr",86,1988,0,305,"06085511707"
"Alessandro",-117.3653,33.9302,"Alessandro Cr",66,1956,0,306,"06065030605"
"Lake Eleanor",-119.8818,37.974,"Eleanor Creek",61,1918,0,307,"06109004201"
"Alluvial Drain Detention",-119.6731,36.858,"Tr Big Dry Creek",12,1994,0,308,"06019005520"
"Rubio Debris Basin",-118.124,34.1994,"Rubio Creek",64,1944,0,309,"06037460101"
"Trout Lake",-122.4834,41.6885,"Tr Lit Shasta R",40,1960,0,310,"06093000300"
"Oakhurst Wastewater Treatment",-119.6821,37.3293,"Tr Fresno River",60,2005,0,311,"06039000111"
"Reservoir No. 5",-118.331609,34.210837,"Offstream",36,1949,0,312,"06037310100"
"Airport Storage Pond",-122.8025,38.5192,"Tr Windsor Creek",22,1985,0,313,"06097152702"
"Beaver Creek Diversion",-120.2792,38.2337,"Beaver Creek                  ",54,1989,0,314,"06109002102"
"Redbank Creek Detention Basin",-119.6563,36.7703,"Redbank Creek",17,1990,0,315,"06019005904"
"La Tuna Debris Basin",-118.328,34.2379,"La Tuna Canyon",47,1960,0,316,"06037102107"
"Sycamore Canyon",-118.7952,34.2534,"Sycamore Canyon",40,1981,0,317,"06111007507"
"Henderson",-120.8771,38.3856,"Jackass Creek",56,1923,0,318,"06005000303"
"Early Intake",-119.9569,37.8755,"Tuolumne River",56,1925,0,319,"06109004201"
"Rinconada Reservoir",-121.9859,37.2559,"Offstream",40,1969,0,320,"06085507205"
"Mary Street",-117.3774,33.9331,"Alessandro Wash",40,1981,0,321,"06065030602"
"Walker Lake",-119.1587,37.8775,"Walker Creek",12,NA,0,322,"06051000102"
"Lake Combie",-121.0581,39.0098,"Bear River                    ",95,1928,0,323,"06057000106"
"Lost Lake West",-119.9479,38.6488,"Lost Creek",21,1925,0,324,"06003010000"
"Lake Curry",-122.1258,38.3574,"Gordon Valley Cr",107,1926,0,325,"06055201403"
"Sweetwater Main",-117.0085,32.6921,"Sweetwater River",112,1888,0,326,"06073013423"
"Jurupa Basin",-117.4464,34.0041,"Jurupa Wash",22,1983,0,327,"06065040303"
"Summit Reservoir",-122.4519,37.7561,"Offstream",39,NA,0,328,"06075030500"
"Delta Pond",-122.8335,38.4494,"Tr Russian Rv",27,1984,0,329,"06097153005"
"Fish Barrier",-121.5478,39.5205,"Feather River                 ",61,1964,0,330,"06007002500"
"Small Canyon",-117.2001,34.1468,"Tr City Creek",68,1957,0,331,"06071007404"
"Bell Canyon",-122.4834,38.555,"Bell Creek",95,1959,0,332,"06055201700"
"Santa Felicia",-118.7512,34.4615,"Piru Creek                    ",213,1955,0,333,"06111009700"
"Dunsmuir Reservoir",-122.1421,37.7412,"Offstream",43,1968,0,334,"06001410000"
"18 Mg Walteria",-118.338,33.7892,"Offstream",31,1987,0,335,"06037651401"
"Little Dalton Debris Basin",-117.839,34.1569,"Lit Dalton Can",71,1960,0,336,"06037400404"
"Mabey Canyon",-117.6087,33.8507,"Mabey Creek",46,1974,0,337,"06065041804"
"Prenda",-117.3707,33.9124,"Prenda Creek",44,1954,0,338,"06065030604"
"Guadalupe",-121.8789,37.2,"Guadalupe Cr",142,1935,0,339,"06085511918"
"Cameron Park",-120.9934,38.6814,"Deer Creek",29,1951,0,340,"06017030810"
"Mammoth Reservoir",-121.139,38.8186,"Offstream",23,1851,0,341,"06061020608"
"Rattlesnake Canyon",-117.7421,33.7295,"Rattlesnake Cr",79,1959,0,342,"06059052437"
"Exchequer Main",-120.2702,37.585,"Merced River                  ",490,1966,0,343,"06043000101"
"Holman",-120.5366,38.0506,"Tr Angels Creek",101,1976,0,344,"06009000121"
"Agua Chinon",-117.6954,33.6888,"Agua Chinon Wash",41,1998,0,345,"06059052438"
"Savage",-116.9274,32.6094,"Otay River",149,1919,0,346,"06073013320"
"Hudson Vineyards",-122.3672,38.2644,"Tr Huichica Crk",25,1983,0,347,"06055201102"
"Chili Bar",-120.8128,38.7715,"South Fork American River     ",126,1964,0,348,"06017031100"
"Schoolhouse Debris Basin",-118.4593,34.3256,"Mansfield Channel",38,1962,0,349,"06037106406"
"Cherry Valley",-119.9147,37.9743,"Cherry Creek",315,1956,0,350,"06109003200"
"Bon Tempe",-122.6098,37.9575,"Lagunitas Creek",98,1949,0,351,"06041131100"
"Antioch Reservoir",-121.809,37.9779,"Tr San Joaquin Riv",30,1935,0,352,"06013355107"
"Bailey Debris Basin",-118.06241,34.172263,"Bailey Can Wash",43,1954,0,353,"06037430501"
"Misselbeck",-122.6971,40.5003,"Nfk Cottonwood Cr",96,1920,0,354,"06089012400"
"Robbs Peak",-120.3885,38.9478,"South Fork Rubicon            ",50,1963,0,355,"06017030603"
"Lake Madigan",-122.1939,38.3074,"Wild Horse Creek",89,1908,0,356,"06095252204"
"Central",-122.224,37.7957,"Offstream",55,1910,0,357,"06001406400"
"Topaz Lake",-119.5014,38.6499,"Walker River",11,1937,0,358,"06051000102"
"Feliz North Lake",-123.1396,38.9816,"Unnamed",24,NA,0,359,"06045011800"
"Yorba",-117.8144,33.8713,"Tr Santa Ana River",45,1907,0,360,"06059021812"
"Elderberry Forebay",-118.631751,34.56168,"Castaic Creek                 ",179,1972,0,361,"06037920102"
"Sierra Madre Villa",-118.0787,34.172,"Sierra Madre Can",50,1958,0,362,"06037460001"
"El Capitan",-116.8093,32.8856,"San Diego River",237,1934,0,363,"06073016902"
"Santa Maria",-116.9445,33.0506,"Offstream",25,1995,0,364,"06073020801"
"Highland Creek",-122.9033,38.9466,"Highland Creek",75,1962,0,365,"06033001000"
"Lake Los Carneros",-119.85,34.4404,"La Patera Depress",31,1932,0,366,"06083002906"
"Turlock Lake",-120.5945,37.6117,"Offstream",36,1915,0,367,"06099002901"
"Metz Road Debris Basin",-117.2314,33.7907,"Tr San Jacinto Riv",12,1981,0,368,"06065042801"
"Fancher Creek",-119.5371,36.8547,"Fancher Cr & Hog Cr",46,1991,0,369,"06019006407"
"Stewart Canyon Debris Basin",-119.2508,34.4582,"Tr San Antonio Cr",34,1963,0,370,"06111000901"
"Boxsprings",-117.3264,33.9587,"Box Springs Cr",49,1960,0,371,"06065042206"
"Murray",-117.0469,32.7823,"Chaparral",110,1918,0,372,"06073009706"
"Little Mountain",-117.2943,34.1643,"Devil Can Cr",28,1958,0,373,"06071005102"
"Silver Lake",-118.2667,34.0933,"Tr Ballona Creek",43,1976,0,374,"06037195100"
"Rubicon Auxiliary",-120.2197,38.9888,"Feather River                 ",13,1963,0,375,"06017030603"
"Dyer",-121.674,37.7598,"",30,2011,0,376,"06001451104"
"Araujo Reservoir No. 2",-122.545315,38.587524,"",33,1950,0,377,"06055201900"
"Diemer Reservoir",-117.8193,33.9109,"Offstream",22,1963,0,378,"06059021831"
"Moccasin Lower",-120.3057,37.8123,"Moccasin Creek",60,1930,0,379,"06109004201"
"Big Sage",-120.6277,41.5778,"Rattlesnake Cr",49,1921,0,380,"06049000300"
"White",-120.7809,41.3747,"Tr Pit River",16,1918,0,381,"06049000300"
"Pleasant Valley",-118.525,37.4141,"Owens River",87,1957,0,382,"06027000200"
"Swanzy Lake",-122.2273,38.0765,"Tr Carquinez Str",86,1931,0,383,"06095250601"
"Elmer J. Chesbro",-121.6951,37.1155,"Llagas Creek",95,1955,0,384,"06085512200"
"Beardsley Afterbay",-120.090259,38.196149,"Middle Fork Stanislaus River  ",33,1958,0,385,"06109003103"
"Dry Canyon",-118.5293,34.4813,"Dry Canyon Cr",66,1912,0,386,"06037920015"
"Buena Vista",-119.27,35.2234,"Kern River",14,1973,0,387,"06029003304"
"Big Bend",-121.466355,39.713355,"North Fork Feather River      ",61,NA,0,388,"06007002401"
"Electra Afterbay",-120.675211,38.330451,"North Fork Mokelumne River    ",30,1948,0,389,"06009000301"
"Amethyst Basin",-117.3646,34.4605,"Ephemeral",46,2019,0,390,"06071010009"
"Pinheiro",-122.5323,38.2374,"Tr Petaluma Rv",26,1967,0,391,"06097150612"
"Csp Mule Creek",-120.947,38.3801,"Offstream",51,1988,0,392,"06005000301"
"John Carl Warnecke",-122.781,38.6063,"Tr Russian Rv",32,1974,0,393,"06097153905"
"Buena Vista Winery",-122.3675,38.2328,"Tr Hudeman Slough",40,1971,0,394,"06097150100"
"Busters Reservoir",-121.155795,40.811759,"",8,1955,0,395,"06035040100"
"The Hill Ranch",-122.5907,38.4446,"Santa Rosa Cr",49,1955,0,396,"06097151601"
"Foss Creek North Area",-122.8708,38.6435,"Foss Creek",20,1998,0,397,"06097153905"
"Murry",-121.4193,37.1972,"Mississippi Cr",54,1957,0,398,"06085513500"
"Usibelli No. 2",-122.3866,38.6002,"Tr Maxwell Cr",26,1973,0,399,"06055201800"
"Mendocino 3 Upper",-123.1302,39.1274,"Middle Creek",49,1915,0,400,"06045011700"
"Janes Flat",-120.7666667,41.88333333,"",22,1918,0,401,"06049000300"
"White Rock Lake",-120.3889,39.4177,"White Rock Creek              ",13,1855,0,402,"06057000900"
"Almaden Valley",-121.8405,37.1985,"Tr Alamitos Creek",38,1965,0,403,"06085511917"
"Russian River No. 1",-123.0114,38.4832,"Russian River",10,1963,0,404,"06097153707"
"Mendota Diversion",-120.3718,36.7884,"San Joaquin River",23,1917,0,405,"06039001100"
"Wrigley Reservoir",-118.3517,33.3533,"Haypress Creek",42,1930,0,406,"06037599100"
"Turner",-117.0812,33.2244,"Moosa Canyon",111,1971,0,407,"06073019105"
"Stinson Weir",-119.9936,36.4607,"Tr Kings River",14,1910,0,408,"06019007700"
"San Pablo Clearwell",-122.2869,37.9033,"Offstream",42,1922,0,409,"06013391000"
"Moraga",-122.117144,37.848257,"Offstream",37,1965,0,410,"06013352101"
"Berenda Slough",-120.1885,37.13,"Berenda Slough",21,1962,0,411,"06039000204"
"Goffinet",-120.8845,38.3779,"Jackass Creek",38,1954,0,412,"06005000303"
"Emergency Storage Basin",-121.4645,38.455,"Offstream",20,1977,0,413,"06067009618"
"Kelly Cabin Can",-121.4289,37.1225,"Kelly Cabin Can Cr",32,1955,0,414,"06085513500"
"Pomponio Ranch",-122.31342,37.29028,"Pomponio Creek",64,1952,0,415,"06081613800"
"San Andreas",-122.4129,37.5798,"San Andreas Creek",107,1870,0,416,"06081613501"
"Debell",-121.6332,37.0025,"Tr Bodfish Creek",53,1952,0,417,"06085512200"
"Carpenter Wilson",-120.8733,41.4216,"Cooley Gulch",21,1948,0,418,"06049000300"
"Lake La Verne",-122.2079,38.461,"Tr Capell Creek",50,1956,0,419,"06055201800"
"Snowflower",-120.593,39.3118,"Kelly Creek",28,1964,0,420,"06061022013"
"Big Canyon",-117.8554,33.6121,"Tr Big Canyon Cr",65,1959,0,421,"06059062658"
"Vicini",-120.9405,38.4693,"Tr Willow  Creek",19,1980,0,422,"06005000301"
"Forbestown Diversion",-121.21,39.5517,"South Fork Feather River      ",81,1962,0,423,"06007002402"
"Donner Euer Valley",-120.299,39.3604,"Tr Sfk Prosser Cr",21,1966,0,424,"06057000900"
"Lake Mary",-120.3319,39.312,"Tr Sfk Yuba Rv",22,1926,0,425,"06061022014"
"Whittier Reservoir No. 4",-118.0451,33.9975,"Tr San Gabriel Riv",55,1931,0,426,"06037501501"
"Summit Reservoir",-122.225,38.1544,"Offstream",124,1968,0,427,"06095251903"
"Lee Lake",-117.4458,33.7502,"Temescal Creek",47,1893,0,428,"06065042007"
"Don Pedro Dike A",-120.4268,37.7005,"Tuolumne River                ",25,1971,0,429,"06109005201"
"Pit River Weir",-121.4357,40.9972,"Pit River                     ",8,1921,0,430,"06089012702"
"Cactus Basin #3",-117.3859,34.1222,"Rialto Channel",38,2017,0,431,"06071003503"
"Lake Leticia",-122.2286,38.3586,"Tr Milliken Cr",49,1960,0,432,"06055201401"
"Groveland Wastewater Reclamation #2",-120.2286,37.8465,"Tr Big Creek",45,1981,0,433,"06109004201"
"Santa Fe Seasonal Storage",-117.1343,33.0257,"Tr San Dieguito Rv",22,2004,0,434,"06073017066"
"4-S Ranch Reclamation Reservoir",-117.113,33.0147,"Artesian Creek",22,2000,0,435,"06073017070"
"Trabuco Retarding Basin",-117.7558,33.6965,"San Diego Creek",18,1996,0,436,"06059052431"
"Mokelumne Hill",-120.716,38.3053,"Tr Mokelumne Rv",52,1973,0,437,"06009000301"
"Manhattan Creek",-120.8551,38.8689,"Manhattan Creek",32,1952,0,438,"06017030605"
"Winchester",-121.0448,38.9846,"Tr Orr Creek",39,1999,0,439,"06061021801"
"Finnon Lake",-120.7527,38.7978,"Jay Bird Creek",46,2012,0,440,"06017030603"
"Del Valle",-121.745,37.6157,"Arroyo Valle",222,1968,0,441,"06001451104"
"Magalia",-121.5844,39.8146,"Little Butte Cr",103,1918,0,442,"06007001704"
"Dina Bob Lake",-122.6891,38.6166,"Tr Franz Cr",33,1955,0,443,"06097154100"
"Chollas",-117.0649,32.738,"Tr Chollas Creek",50,1901,0,444,"06073002711"
"Lake William",-122.2231,38.3617,"Tr Milliken Cr",66,1960,0,445,"06055201401"
"Berrenda Mesa",-120.0267,35.7046,"Unnamed",22,1967,0,446,"06029004500"
"Grant Lake",-119.1026,37.8621,"Rush Creek",87,1940,0,447,"06051000101"
"French Lake",-120.5423,39.421,"Canyon Creek                  ",95,1859,0,448,"06057000900"
"Greystone Reservoir",-118.4019,34.093,"Offstream",75,1970,0,449,"06037700600"
"Goodwin",-120.6303,37.8633,"Stanislaus Rv",101,1912,0,450,"06009000124"
"Maloney",-122.298,37.998,"Offstream",107,1960,0,451,"06013359103"
"Corte Madera",-116.5781,32.7761,"Tr Pine Valley Cr",16,1919,0,452,"06073021101"
"Grass Valley",-117.2174,34.2634,"Grass Valley Cr",35,1964,0,453,"06071010903"
"Lobdel Lake",-119.3602,38.4421,"Desert Creek",27,1948,0,454,"06051000102"
"Dawson Lake",-120.4785,37.6405,"Tr Tuolumne Rv",22,1896,0,455,"06099002901"
"Loon Lake Dike",-120.3005,39.0124,"Gerle Creek                   ",20,1963,0,456,"06017030603"
"Walker Creek",-122.8162,38.1688,"Tr Walker Creek",25,1976,0,457,"06041133000"
"Wildhorse",-120.8561111,41.9475,"",12,1934,0,458,"06049000300"
"Browns Lane",-122.567132,38.234573,"",32,NA,0,459,"06097150612"
"Telephone Flat",-120.6875,41.77777778,"",7,1931,0,460,"06049000300"
"Pyramid",-118.7645,34.6443,"Piru Creek                    ",400,1974,0,461,"06037901209"
"Blossom Valley Reservoir",-116.8579,32.8657,"Offstream",42,1962,0,462,"06073016813"
"Seeger",-122.7552,38.077,"Nicasio Creek",115,1961,0,463,"06041133000"
"Elkins and Lane",-120.7591,41.083,"Tr Ash Creek",22,1953,0,464,"06035040100"
"Sierra Madre",-118.043,34.1762,"L Santa Anita Cr",69,1928,0,465,"06037430501"
"Donovan",-120.6935,41.4099,"Rye Grass Swale",28,1953,0,466,"06049000300"
"Lake Francis",-121.2064,39.3599,"Dobbins Creek",79,2000,0,467,"06115041102"
"Williams",-121.9068,37.1212,"Los Gatos Creek",69,1895,0,468,"06085511800"
"Lower Howell",-122.0146,37.1893,"Rundell Creek",39,1877,0,469,"06085511800"
"Toreson",-120.8214,41.3927,"Toms Creek",55,1898,0,470,"06049000300"
"St. Helena Lower",-122.4912,38.5073,"Tr Napa River",44,1878,0,471,"06055201602"
"Lake Chabot",-122.2396,38.1405,"Blue Rock Sprgs Crk",47,1870,0,472,"06095251901"
"Pine Creek",-121.9903,37.8851,"Pine Creek",87,1956,0,473,"06013346101"
"Shelley",-122.4047,41.734,"Webb Gulch",27,1952,0,474,"06093000300"
"San Pablo",-122.2598,37.9446,"San Pablo Creek",170,1920,0,475,"06013356002"
"Lindero",-118.7875,34.1475,"Lindero Creek",19,1966,0,476,"06037800324"
"Atascadero Park",-120.6672,35.4681,"Tr Atascadero Cr",18,1918,0,477,"06079012601"
"Mccarty",-120.691,38.0263,"Tr Johnny Creek",19,1938,0,478,"06009000124"
"Montana Lake",-122.1558,38.3791,"Tr Lake Curry",39,2009,0,479,"06055201403"
"Fisher Creek",-121.7476,37.2107,"Tr Fisher Creek",14,2008,0,480,"06085512100"
"Upper Elder",-121.8714,40.9841,"Tr Pit River",26,NA,0,481,"06089012606"
"Round Canyon Retarding Basin",-117.6996,33.6998,"Round Can Wash",98,1994,0,482,"06059052430"
"Fallen Leaf Lake Dam",-120.0619861,38.90111667,"TAYLOR CREEK",12,1934,0,483,"06017032002"
"Coastways",-122.3041,37.1184,"Tr Ano Nuevo Creek",46,1951,0,484,"06081613800"
"Linda Vista",-122.357419,38.557762,"Tr Chiles Creek",39,1959,0,485,"06055201800"
"Sly Park",-120.5626,38.7159,"Sly Park Creek",182,1955,0,486,"06017031406"
"S-X",-120.7489,41.5125,"Tr Pit River",45,1917,0,487,"06049000300"
"Langtry",-122.5328,38.7153,"Tr Cassidy Creek",50,1992,0,488,"06033001302"
"Cache Creek Settling Basin",-121.673,38.6782,"Cache Creek",29,1993,0,489,"06113011208"
"Bridgeport",-119.2111,38.3266,"East Walker Rv",63,1924,0,490,"06051000102"
"Myers",-120.9693,41.1243,"Tr Ash Creek",27,1957,0,491,"06035040100"
"Holbrook",-120.6314,41.0778,"Ash Creek",26,1952,0,492,"06035040100"
"Higuera",-121.8942,37.4599,"So Calera Cr",44,1953,0,493,"06085504424"
"Upper Pasture",-120.4658,41.4273,"Yankee Jim Sl",15,NA,0,494,"06049000300"
"Kuhn",-121.744,37.3,"Tr Dry Creek",67,1947,0,495,"06085503330"
"Conn Creek",-122.3737,38.4821,"Conn Creek",125,1946,0,496,"06055201700"
"Greeott",-122.7809,38.5631,"Tr Windsor Creek",40,1951,0,497,"06097153807"
"Pine Grove",-121.1291,39.3191,"Shady Creek",42,1911,0,498,"06057000900"
"Palen",-120.3074,39.6539,"Antelope Creek",25,1951,0,499,"06091010000"
"Poison Springs",-120.0267,41.8188,"Rock Creek",43,1957,0,500,"06049000400"
"Devils Gate",-118.1756,34.1852,"Arroyo Seco",108,1920,0,501,"06037460401"
"Cherry Flat",-121.758,37.3971,"Penitencia Cr",60,1936,0,502,"06085513500"
"Beardsley",-120.0753,38.2035,"Middle Fork Stanislaus River  ",278,1957,0,503,"06109002102"
"Chatsworth",-118.6322,34.2278,"Tr Los Angeles R",45,1918,0,504,"06037980023"
"Emigrant Spring",-120.557712,41.591324,"",8,1974,0,505,"06049000300"
"Centennial",-123.31222,39.356914,"Davis Creek",62,1990,0,506,"06045010601"
"Shinn",-121.991272,37.571334,"Tr Alameda Creek",45,1987,0,507,"06001441200"
"Blue Lake",-120.2893,41.1499,"",8,1960,0,508,"06035040100"
"Upper Sand Creek Detention Basin",-121.764,37.945,"Sand Creek",40,2014,0,509,"06013303207"
"Bottoms",-122.56,38.7201,"Tr Helena Creek",47,1990,0,510,"06033001302"
"Gardella",-120.4335,37.891,"Tr to Woods Creek",69,2009,0,511,"06109005101"
"Spring Valley",-122.5926,39.0725,"Wolf Creek",37,1968,0,512,"06033000602"
"Mccreary",-122.5067,38.753,"Bucksnort Creek",20,1961,0,513,"06033001302"
"Black Rock Creek",-121.7721,36.412,"Nfk Black Rock Cr",54,1925,0,514,"06053011002"
"Alta Loma Basin #1",-117.5909,34.1437,"Alta Loma Channel",30,1964,0,515,"06071002018"
"Matilija",-119.3084,34.4838,"Matilija Creek",163,1949,0,516,"06111009700"
"Giles",-121.9736,38.4386,"Tr Sweeney Cr",18,1965,0,517,"06095252903"
"Mill Creek",-122.2124,37.1164,"Mill Creek",76,1889,0,518,"06087120200"
"Steamboat Lake",-122.4696,41.691,"Tr Lit Shasta R",22,1968,0,519,"06093000300"
"10 Mg Walteria",-118.3373,33.7882,"Offstream",40,1953,0,520,"06037651401"
"Green Verdugo",-118.3355,34.2575,"Tr Tujunga Wash",118,1953,0,521,"06037102107"
"York Hill",-122.4501,39.14,"Tr Bear Creek",38,1952,0,522,"06011000302"
"Ross",-120.5157,38.1163,"Angels Creek                  ",44,1892,0,523,"06009000122"
"Veeh",-117.7329,33.6254,"Tr San Diego Cr",37,1936,0,524,"06059062652"
"Lower Feeley",-120.643,39.399,"Fall Creek - Tr               ",19,1870,0,525,"06057000900"
"Kinney Meadows",-119.8075,38.5572,"Tr Silver Creek",44,1929,0,526,"06003010000"
"Fleming Hill No. 2",-122.2427,38.1374,"Tr Napa River",39,1912,0,527,"06095251901"
"Hartzell",-120.8447,35.525,"Santa Rita Cr",50,1965,0,528,"06079012706"
"Diederich Reservoir",-118.2505,34.169,"Offstream",60,1950,0,529,"06037300702"
"Round Valley",-120.6606,40.5154,"Round Val Cr",45,1892,0,530,"06035040305"
"Don Pedro Dike C",-120.4025,37.7025,"Tuolumne River                ",10,1971,0,531,"06109005201"
"Lakeport",-122.925607,39.013498,"Tr Manning Cr",51,1980,0,532,"06033000300"
"Upper Plaskett",-122.843031,39.726366,"PLASKETT CREEK",28,1955,0,533,"06021010300"
"Fairchild (Res F)",-120.8788,41.5774,"",20,1914,0,534,"06049000300"
"Airport Storage Pond 2",-122.8055,38.5177,"Tr Windsor Creek",20,1989,0,535,"06097152702"
"J&T Cattle Company No. 2",-120.5042,37.6174,"Peaslee Creek",14,1980,0,536,"06099002901"
"Ingals Swamp",-120.6848,41.7078,"Ingals Swamp",23,1918,0,537,"06049000300"
"Peoples Weir",-119.5369,36.4864,"Kings River",23,1936,0,538,"06031000100"
"J. V. De Laveaga",-121.1965,36.8643,"Tr Quien Sabe Cr",28,1940,0,539,"06069000100"
"Leonard No. 2",-121.0383,41.1162,"Tr Ash Creek",26,1968,0,540,"06035040100"
"Albaugh No. 2",-120.968,41.1588,"Tr Willow Creek",26,1966,0,541,"06035040100"
"Crawford Ranch",-123.0587,38.9755,"Tr Mcdowell Cr",80,1972,0,542,"06045011800"
"Weymouth Memorial Reservoir",-117.784,34.1099,"Offstream",18,1966,0,543,"06037408900"
"Rancho Rubini",-122.4215,39.1967,"Tr Bear Creek",31,1955,0,544,"06011000400"
"Ewing",-123.1673,40.5629,"Ewing Gulch",63,1972,0,545,"06105000500"
"Big Lagoon",-124.102267,41.1559,"Big Lagoon",16,1947,0,546,"06023010200"
"Lower Kinney Lake",-119.8215,38.5631,"Tr Silver Creek",40,1926,0,547,"06003010000"
"Schadler",-120.0725,41.9399,"Eight Mile Cr",39,1967,0,548,"06049000400"
"Duncan",-120.942,41.5179,"Tr Pit River",19,1919,0,549,"06049000300"
"Lower Stehly",-117.0566,33.3013,"Tr Keys Creek",60,NA,0,550,"06073019103"
"Upper Stehly",-117.0617,33.3096,"Tr Keys Creek",29,1999,0,551,"06073019103"
"Ione Canal",-120.9076,38.3387,"Ione Canal",48,1962,0,552,"06005000303"
"Foothill Regulating Park",-122.7929,38.5621,"Tr Windsor Creek",51,1963,0,553,"06097153807"
"Declez Retention",-117.502,34.0318,"Tr San Sevaine Cr",30,1984,0,554,"06065040502"
"Sea Ranch",-123.5006,38.7602,"Offstream",61,1996,0,555,"06097154308"
"Encinosa Basin North",-122.021424,38.362789,"Encinosa Creek",21,2009,0,556,"06095253201"
"Fairmont No. 2",-118.4342,34.7104,"Tr Antelope Vy Cr",24,1982,0,557,"06037901209"
"Pennsylvania Creek",-122.0663,38.2616,"Pennsylvania Cr",14,1958,0,558,"06095252306"
"Preston Forebay",-120.9233,38.3754,"Offstream",40,1892,0,559,"06005000301"
"Bernardo Reservoir",-117.0835,33.0077,"Offstream",54,1964,0,560,"06073017069"
"Patterson",-121.6836,37.6985,"Offstream",39,1962,0,561,"06001451104"
"Bean Hollow #3",-122.3673,37.2047,"Ar De Los Frijoles",40,1939,0,562,"06081613800"
"Crocker Diversion",-120.3697,37.5152,"Merced River",22,1910,0,563,"06047002500"
"Ridgewood",-123.3409,39.3207,"Forsythe Creek",44,1929,0,564,"06045010900"
"Clover Valley",-121.1976,38.8683,"Tr Antelope Cr",35,1909,0,565,"06061021204"
"Moskowite",-122.1937,38.4573,"Tr Capell Creek",50,1955,0,566,"06055201800"
"Slate Creek",-121.0517,39.6156,"Slate Creek                   ",68,1961,0,567,"06063000202"
"De Sabla Forebay",-121.611843,39.872057,"Butte Creek                   ",52,1962,0,568,"06007001704"
"Renner Sibley Creek",-120.5917,41.987,"Sibley Creek",28,1959,0,569,"06049000300"
"Fairmont",-118.4274,34.7049,"Antelope Valley",121,1912,0,570,"06037901209"
"Encino",-118.511,34.1482,"Encino Creek",168,1924,0,571,"06037139704"
"Arroyo Seco",-121,38.3568,"Tr Dry Creek",67,1957,0,572,"06005000303"
"Ward Lake",-120.4362,40.4071,"Tr Susan River",23,1889,0,573,"06035040400"
"Bap Pond 7",-117.73781,35.05476,"Offstream",20,NA,0,574,"06029006500"
"Paradise Vineyards",-122.447,38.1436,"Tr Tolay Creek",40,2003,0,575,"06097150612"
"Dunn Ranch",-116.6158,33.5668,"Tr Hamilton Cr",44,1987,0,576,"06065044407"
"Wilson Debris Basin",-118.4471,34.3296,"Wilson Canyon",50,1961,0,577,"06037106010"
"Hicks Canyon Retention Basin",-117.7164,33.7361,"Hicks Can Wash",60,1997,0,578,"06059052430"
"Miners Ravine Detention",-121.2282,38.7581,"Dry Creek",23,2007,0,579,"06061020717"
"Calavera",-117.2873,33.1699,"Calavera Creek",67,1940,0,580,"06073019810"
"West Valley",-120.4121,41.2228,"West Valley Cr",65,1936,0,581,"06049000300"
"Turkey Ranch",-122.4456,38.6319,"Tr Pope Creek",35,1999,0,582,"06055201800"
"Silver Lake",-120.121759,38.668345,"Silver Fork American River    ",32,1876,0,583,"06005000102"
"Orvis",-120.7834,37.9484,"Buckham Gulch",34,1959,0,584,"06099000101"
"Swan",-121.1358,39.1353,"Dry Creek",59,1967,0,585,"06057000200"
"Petes Valley",-120.4524,40.5441,"Petes Creek",29,1954,0,586,"06035040100"
"J.C. Jacobsen",-118.5374,35.1065,"Tr Chanac Creek",56,1973,0,587,"06029006012"
"Roberts",-121.1373,41.2294,"Tr Pit River",17,1905,0,588,"06049000200"
"Hernandez",-120.8355,36.3969,"San Benito River",124,1962,0,589,"06069000802"
"Eagle Rock",-118.1911,34.1463,"Offstream",113,1953,0,590,"06037181000"
"Lake Buck",-120.0024,39.6276,"Long Valley Cr",37,1951,0,591,"06091010000"
"San Diego Reservoir",-120.3898,38.0305,"Tr Mormon Cr",39,1860,0,592,"06109002101"
"Peconom",-120.6028,40.4442,"Antelope Val",15,1920,0,593,"06035040303"
"James Porter",-120.4208,41.51,"Tr Parker Cr",21,1928,0,594,"06049000300"
"Palisades Reservoir",-117.6522,33.4638,"",146,1963,0,595,"06059042205"
"Tejon Storage 2",-118.7197,35.0239,"Tr Tejon Creek",67,1956,0,596,"06029006011"
"Rye",-122.5259,39.8369,"Kendrick Creek",37,1959,0,597,"06103000300"
"Vail",-116.9776,33.4968,"Temecula Creek",152,1949,0,598,"06065043293"
"El Casco",-117.1089,33.977,"San Timoteo Creek",19,1879,0,599,"06065043822"
"Don Pedro Dike B",-120.4093,37.7028,"Tuolumne River                ",36,1971,0,600,"06109005201"
"Shoreline Lake",-122.0953,37.4347,"Un-named",18,NA,0,601,"06085504601"
